CAN_TH_00
10kOhms_25degreeC
R_tolerance_1percent
3455K_25_85degreeC
B_tolerance_1percent

Bias_type	:	0

temp_degreeC	V_Out
-40	2.860594796
-39	2.85206807
-38	2.843541344
-37	2.835014617
-36	2.826487891
-35	2.817961165
-34	2.807457282
-33	2.796953399
-32	2.786449517
-31	2.775945634
-30	2.765441751
-29	2.752764564
-28	2.740087377
-27	2.727410189
-26	2.714733002
-25	2.702055815
-24	2.68698993
-23	2.671924045
-22	2.65685816
-21	2.641792275
-20	2.62672639
-19	2.609172721
-18	2.591619052
-17	2.574065383
-16	2.556511714
-15	2.538958045
-14	2.518890987
-13	2.498823929
-12	2.47875687
-11	2.458689812
-10	2.438622754
-9	2.416157579
-8	2.393692404
-7	2.371227229
-6	2.348762054
-5	2.326296879
-4	2.301632615
-3	2.276968351
-2	2.252304086
-1	2.227639822
0	2.202975558
1	2.176449241
2	2.149922924
3	2.123396607
4	2.09687029
5	2.070343973
6	2.042447666
7	2.014551359
8	1.986655052
9	1.958758745
10	1.930862438
11	1.902167719
12	1.873473
13	1.844778282
14	1.816083563
15	1.787388844
16	1.758540655
17	1.729692465
18	1.700844276
19	1.671996086
20	1.643147897
21	1.614518318
22	1.585888738
23	1.557259159
24	1.528629579
25	1.5
26	1.472292315
27	1.44458463
28	1.416876946
29	1.389169261
30	1.361461576
31	1.334998905
32	1.308536234
33	1.282073562
34	1.255610891
35	1.22914822
36	1.204243519
37	1.179338818
38	1.154434118
39	1.129529417
40	1.104624716
41	1.081447158
42	1.0582696
43	1.035092043
44	1.011914485
45	0.988736927
46	0.967410297
47	0.946083667
48	0.924757037
49	0.903430407
50	0.882103777
51	0.86264972
52	0.843195663
53	0.823741607
54	0.80428755
55	0.784833493
56	0.767284926
57	0.749736359
58	0.732187792
59	0.714639225
60	0.697090658
61	0.681293011
62	0.665495364
63	0.649697716
64	0.633900069
65	0.618102422
66	0.604005358
67	0.589908294
68	0.575811229
69	0.561714165
70	0.547617101
71	0.53511774
72	0.522618379
73	0.510119017
74	0.497619656
75	0.485120295
76	0.474045516
77	0.462970738
78	0.451895959
79	0.440821181
80	0.429746402
81	0.419825416
82	0.40990443
83	0.399983444
84	0.390062458
85	0.380141472
86	0.371300816
87	0.362460161
88	0.353619505
89	0.34477885
90	0.335938194
91	0.328063883
92	0.320189572
93	0.312315262
94	0.304440951
95	0.29656664
96	0.289623181
97	0.282679723
98	0.275736264
99	0.268792806
100	0.261849347
101	0.255754291
102	0.249659236
103	0.24356418
104	0.237469125
105	0.231374069
106	0.226007965
107	0.220641861
108	0.215275757
109	0.209909653
110	0.204543549
111	0.199836341
112	0.195129133
113	0.190421924
114	0.185714716
115	0.181007508
116	0.176893086
117	0.172778665
118	0.168664243
119	0.164549822
120	0.1604354
121	0.156843548
122	0.153251696
123	0.149659844
124	0.146067992
9999
